epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.8828,3.04665,6.01927,2.97093,0,0,0,0,3.02924,6.99994,3.16703,0.00015,0.00015,0.00015
2,133.673,2.72055,5.80838,2.76991,0,0,0,0,2.53419,6.41427,2.63607,0.000294655,0.000294655,0.000294655
3,196.801,2.43231,5.74206,2.47642,0,0,0,0,2.33196,6.24866,2.49322,0.00042347,0.00042347,0.00042347
4,259.949,2.24798,5.43675,2.29402,0,0,0,0,2.17148,6.15271,2.34219,0.000536445,0.000536445,0.000536445
5,323.848,2.17168,5.18149,2.20979,0.00067,0.27636,0.00063,0.00021,2.58081,5.60776,2.50667,0.00063358,0.00063358,0.00063358
6,387.02,2.22409,5.03791,2.19568,0.00224,0.3303,0.00603,0.00177,2.25281,6.80434,1.93972,0.000714875,0.000714875,0.000714875
7,450.48,2.19445,5.03145,2.16136,0.00052,0.38182,0.00083,0.00037,2.45088,5.76121,2.16246,0.000703,0.000703,0.000703
8,513.657,2.122,4.73465,2.1582,0.00183,0.60848,0.00411,0.00149,2.38859,6.07823,1.96936,0.0006535,0.0006535,0.0006535
9,576.843,2.05812,4.76614,2.0753,0.00156,0.5903,0.00317,0.00103,2.5819,5.81848,2.11113,0.000604,0.000604,0.000604
10,640.366,1.93423,4.70037,2.05642,0.40129,0.07273,0.00341,0.00121,2.68027,5.70431,2.36645,0.0005545,0.0005545,0.0005545
11,702.893,1.98559,5.3788,2.03001,0.21043,0.07273,0.02961,0.0064,2.54828,5.67029,2.65914,0.000505,0.000505,0.000505
12,765.447,1.91661,5.06008,2.04724,0.00696,0.05455,0.02675,0.01153,2.46167,5.66856,2.80927,0.0004555,0.0004555,0.0004555
13,828.144,1.82371,4.99246,1.96601,0.00262,0.77515,0.00596,0.00142,2.15663,6.14764,2.64538,0.000406,0.000406,0.000406
14,890.926,1.83219,4.85011,2.00618,0.60409,0.10909,0.01569,0.00489,1.92087,6.51574,2.55535,0.0003565,0.0003565,0.0003565
15,953.939,1.76887,4.79174,1.97887,0.81056,0.05455,0.05134,0.02281,1.59469,8.8444,2.31849,0.000307,0.000307,0.000307
16,1016.89,1.705,4.63083,1.95961,0.81572,0.03636,0.05975,0.02696,1.56079,7.3783,2.25211,0.0002575,0.0002575,0.0002575
17,1079.28,1.67958,4.55803,1.98305,0.81849,0.05455,0.03865,0.01819,1.55402,5.69651,2.18801,0.000208,0.000208,0.000208
18,1141.24,1.6444,4.55795,1.91019,0.81922,0.03636,0.03541,0.0151,1.51566,4.98707,2.12891,0.0001585,0.0001585,0.0001585
19,1203.51,1.56891,4.44255,1.9098,0.86018,0.03194,0.03355,0.01533,1.49888,4.83157,2.03631,0.000109,0.000109,0.000109
20,1265.68,1.6629,4.3773,1.93318,0.87178,0.01818,0.04614,0.01895,1.50379,4.82351,1.96789,5.95e-05,5.95e-05,5.95e-05
